2026-08-14 11:37:18 | INFO | bdc.salesforce | Iniciando processo de ingestão da base do Salesforce.
2026-08-14 11:37:18 | INFO | bdc.salesforce | Snapshot bruto salvo na Bronze em: raw_salesforce_20260814_salesforce.xlsx
2026-08-14 11:37:18 | INFO | bdc.salesforce | Iniciando leitura da base local do Salesforce: C:\Users\C807951\Desktop\BDC\ENTRADAS\salesforce\salesforce.xlsx
2026-08-14 11:37:18 | INFO | bdc.salesforce | Lendo aba 'Conta' do Salesforce...
2026-08-14 11:37:29 | INFO | bdc.salesforce | Aba 'Conta' carregada com sucesso. 41419 registros processados.
2026-08-14 11:37:29 | INFO | bdc.salesforce | Lendo aba 'Cotação' do Salesforce...
2026-08-14 11:37:40 | INFO | bdc.salesforce | Aba 'Cotação' carregada com sucesso. 40127 registros processados.
2026-08-14 11:37:40 | INFO | bdc.salesforce | Lendo aba 'Chamado' do Salesforce...
2026-08-14 11:37:45 | INFO | bdc.salesforce | Aba 'Chamado' carregada com sucesso. 7034 registros processados.
2026-08-14 11:37:45 | INFO | bdc.salesforce | Lendo aba 'Contrato' do Salesforce...
2026-08-14 11:37:49 | INFO | bdc.salesforce | Aba 'Contrato' carregada com sucesso. 9096 registros processados.
2026-08-14 11:37:59 | INFO | bdc.salesforce | Ingestão do Salesforce concluída. Objetos salvos: account, cotacao, chamado, contrato
